HCHO_Amount,Location,Present_Date,Next_Date,Month,Average Temperature(°C)
5.803530712000793e-06,Matara,2019-01-02,2019-01-03,January,25.8
0.0002362357772653,Matara,2019-01-03,2019-01-04,January,25.8
6.437245753953118e-05,Matara,2019-01-04,2019-01-05,January,25.8
5.349707092885017e-05,Matara,2019-01-05,2019-01-06,January,25.8
0.0001315594859189,Matara,2019-01-06,2019-01-07,January,25.8
6.269859896976347e-05,Matara,2019-01-07,2019-01-08,January,25.8
2.298263979970634e-05,Matara,2019-01-08,2019-01-09,January,25.8
7.190247186715247e-05,Matara,2019-01-10,2019-01-11,January,25.8
0.0001542091441034,Matara,2019-01-11,2019-01-12,January,25.8
0.0001406986305217,Matara,2019-01-12,2019-01-13,January,25.8
7.187311712186784e-05,Matara,2019-01-15,2019-01-16,January,25.8
3.5053075407631695e-05,Matara,2019-01-16,2019-01-17,January,25.8
0.0001694853136055,Matara,2019-01-17,2019-01-18,January,25.8
0.0003082256948783,Matara,2019-01-18,2019-01-19,January,25.8
6.0375266285424514e-05,Matara,2019-01-20,2019-01-21,January,25.8
3.363791867442001e-05,Matara,2019-01-22,2019-01-23,January,25.8
0.0001753175803488,Matara,2019-01-23,2019-01-24,January,25.8
5.2793313875356256e-05,Matara,2019-01-24,2019-01-25,January,25.8
0.0001586517467092,Matara,2019-01-28,2019-01-29,January,25.8
0.0001037720817875,Matara,2019-01-29,2019-01-30,January,25.8
4.768084267461017e-05,Matara,2019-01-31,2019-02-01,January,25.8
5.617168790830808e-05,Matara,2019-02-01,2019-02-02,February,26.4
0.0001028843263981,Matara,2019-02-03,2019-02-04,February,26.4
0.000103548176412,Matara,2019-02-04,2019-02-05,February,26.4
8.412867361170815e-05,Matara,2019-02-05,2019-02-06,February,26.4
0.0001495798303155,Matara,2019-02-07,2019-02-08,February,26.4
0.0002421511611906,Matara,2019-02-08,2019-02-09,February,26.4
9.253276543587998e-05,Matara,2019-02-11,2019-02-12,February,26.4
0.0001574102690481,Matara,2019-02-12,2019-02-13,February,26.4
6.523994226828871e-05,Matara,2019-02-13,2019-02-14,February,26.4
8.038732615390482e-05,Matara,2019-02-16,2019-02-17,February,26.4
0.0001293821304845,Matara,2019-02-18,2019-02-19,February,26.4
0.0001168615135118,Matara,2019-02-19,2019-02-20,February,26.4
8.337509543093406e-05,Matara,2019-02-20,2019-02-21,February,26.4
2.514510513135289e-05,Matara,2019-02-21,2019-02-22,February,26.4
0.0001425070075459,Matara,2019-02-22,2019-02-23,February,26.4
0.0001366694245436,Matara,2019-02-23,2019-02-24,February,26.4
0.0001627625602433,Matara,2019-02-24,2019-02-25,February,26.4
0.0001543677869547,Matara,2019-02-25,2019-02-26,February,26.4
0.0001663931743162,Matara,2019-02-28,2019-03-01,February,26.4
9.971738595225878e-05,Matara,2019-03-06,2019-03-07,March,26.9
0.0001356645928779,Matara,2019-03-07,2019-03-08,March,26.9
9.87355639618488e-05,Matara,2019-03-08,2019-03-09,March,26.9
5.6466989097736635e-05,Matara,2019-03-10,2019-03-11,March,26.9
0.0001590144307147,Matara,2019-03-11,2019-03-12,March,26.9
0.0001171489486397,Matara,2019-03-12,2019-03-13,March,26.9
0.0002678319367111,Matara,2019-03-14,2019-03-15,March,26.9
0.0001973485736028,Matara,2019-03-15,2019-03-16,March,26.9
5.13548232774661e-05,Matara,2019-03-16,2019-03-17,March,26.9
4.457512841327116e-05,Matara,2019-03-18,2019-03-19,March,26.9
0.0002551880668476,Matara,2019-03-19,2019-03-20,March,26.9
8.954724124801195e-05,Matara,2019-03-20,2019-03-21,March,26.9
0.0001081070493299,Matara,2019-03-22,2019-03-23,March,26.9
0.0001883458499592,Matara,2019-03-23,2019-03-24,March,26.9
0.000171727504349,Matara,2019-03-24,2019-03-25,March,26.9
0.0003326517375935,Matara,2019-03-25,2019-03-26,March,26.9
0.0001650504145461,Matara,2019-03-26,2019-03-27,March,26.9
0.0001789494366016,Matara,2019-03-27,2019-03-28,March,26.9
0.0001818030703527,Matara,2019-03-28,2019-03-29,March,26.9
4.044847087752865e-05,Matara,2019-03-29,2019-03-30,March,26.9
0.0001046297780589,Matara,2019-04-01,2019-04-02,April,27.0
8.128573946871756e-05,Matara,2019-04-02,2019-04-03,April,27.0
6.149668792726311e-05,Matara,2019-04-03,2019-04-04,April,27.0
9.296972991768896e-05,Matara,2019-04-04,2019-04-05,April,27.0
0.0001659114059293,Matara,2019-04-06,2019-04-07,April,27.0
0.000143890350864,Matara,2019-04-08,2019-04-09,April,27.0
6.20313630194549e-05,Matara,2019-04-10,2019-04-11,April,27.0
8.426213025813922e-05,Matara,2019-04-11,2019-04-12,April,27.0
0.0001655760267849,Matara,2019-04-12,2019-04-13,April,27.0
0.0002243445980376,Matara,2019-04-13,2019-04-14,April,27.0
0.0001076937462352,Matara,2019-04-18,2019-04-19,April,27.0
0.0001167011796496,Matara,2019-04-22,2019-04-23,April,27.0
5.12579766773392e-05,Matara,2019-04-23,2019-04-24,April,27.0
0.0001783669821192,Matara,2019-04-24,2019-04-25,April,27.0
0.0001871501881396,Matara,2019-04-28,2019-04-29,April,27.0
0.0001513876780742,Matara,2019-05-01,2019-05-02,May,26.8
5.434144155589335e-05,Matara,2019-05-04,2019-05-05,May,26.8
7.521904743490836e-05,Matara,2019-05-05,2019-05-06,May,26.8
6.477919130672735e-05,Matara,2019-05-06,2019-05-07,May,26.8
8.903688521043591e-05,Matara,2019-05-07,2019-05-08,May,26.8
0.0001266048084834,Matara,2019-05-08,2019-05-09,May,26.8
0.0001186255669854,Matara,2019-05-09,2019-05-10,May,26.8
8.904187787431491e-05,Matara,2019-05-10,2019-05-11,May,26.8
2.949114473778149e-05,Matara,2019-05-11,2019-05-12,May,26.8
4.16907598251222e-05,Matara,2019-05-12,2019-05-13,May,26.8
9.758382500903084e-05,Matara,2019-05-14,2019-05-15,May,26.8
0.0001890657581933,Matara,2019-05-15,2019-05-16,May,26.8
0.0001197343556303,Matara,2019-05-16,2019-05-17,May,26.8
0.0001049880638621,Matara,2019-05-17,2019-05-18,May,26.8
9.658265808306529e-05,Matara,2019-05-19,2019-05-20,May,26.8
1.0668271897884551e-05,Matara,2019-05-20,2019-05-21,May,26.8
0.000314141457475,Matara,2019-05-21,2019-05-22,May,26.8
8.360032868662833e-05,Matara,2019-05-24,2019-05-25,May,26.8
5.2382561264022686e-05,Matara,2019-05-25,2019-05-26,May,26.8
0.0001127015595865,Matara,2019-05-26,2019-05-27,May,26.8
0.000110648214343,Matara,2019-05-27,2019-05-28,May,26.8
0.0001113564054257,Matara,2019-05-28,2019-05-29,May,26.8
0.0001309619983658,Matara,2019-05-31,2019-06-01,May,26.8
7.860539060937241e-05,Matara,2019-06-01,2019-06-02,June,26.4
1.947566942113531e-05,Matara,2019-06-03,2019-06-04,June,26.4
8.82573060809885e-05,Matara,2019-06-09,2019-06-10,June,26.4
0.0002606536600287,Matara,2019-06-11,2019-06-12,June,26.4
0.0001034896122957,Matara,2019-06-13,2019-06-14,June,26.4
9.794863285570833e-05,Matara,2019-06-15,2019-06-16,June,26.4
0.0001217725225117,Matara,2019-06-16,2019-06-17,June,26.4
3.626547253389472e-05,Matara,2019-06-20,2019-06-21,June,26.4
3.066723729716614e-05,Matara,2019-06-25,2019-06-26,June,26.4
5.938476593081347e-05,Matara,2019-06-26,2019-06-27,June,26.4
0.0001501880620112,Matara,2019-06-27,2019-06-28,June,26.4
8.48560045610269e-08,Matara,2019-06-28,2019-06-29,June,26.4
1.865870755620223e-05,Matara,2019-06-29,2019-06-30,June,26.4
8.076289701838124e-05,Matara,2019-06-30,2019-07-01,June,26.4
0.0001565128040965,Matara,2019-07-01,2019-07-02,July,26.2
